  1  0.779
  1  0.765
  1  0.566
  1  0.543
  1  0.863
  1  0.665
  1  0.603
  1  0.709
  1  0.533
  1  0.573
  1  0.722
  1  0.530
  1  0.761
  1  0.726
  1  0.632
  1  0.581
  1  0.566
  1  0.552
  1  0.972
  1  0.580
  1  0.601
  1  0.735
  1  0.715
  1  0.645
  1  0.720
  1  0.548
  1  0.910
  1  0.816
  1  0.765
  1  0.688
  1  0.605
  1  0.543
  1  0.564
  1  0.564
  1  0.691
  1  0.706
  1  0.596
  1  0.665
  1  0.589
  1  0.541
  1  0.596
  1  0.567
  1  0.653
  1  0.625
  0  0.645
  1  0.734
  1  0.660
  1  0.691
  1  0.611
  1  0.611
  1  0.613
  1  0.633
  1  0.528
  1  0.609
  1  0.541
  1  0.769
  1  0.541
  1  0.538
  1  0.553
  1  0.860
  0  0.728
  1  0.582
  1  0.621
  1  0.576
  1  0.665
  1  0.566
  1  0.886
  1  0.659
  0  0.767
  1  0.697
  1  0.560
  1  0.973
  1  0.737
  1  0.914
  1  0.781
  1  0.614
  1  0.558
  1  0.567
  1  0.562
  1  0.777
  1  0.976
  1  0.883
  1  0.596
  1  0.711
  0  0.706
  1  0.576
  0  0.710
  1  0.971
  1  0.829
  1  0.698
  1  0.809
  1  0.714
  1  0.652
  0  0.820
  1  0.631
  1  0.618
  1  0.618
  1  0.611
  0  0.676
  0  0.610
  1  0.785
  1  0.663
  1  0.625
  1  0.678
  1  0.569
  1  0.644
  1  0.609
  1  0.832
  0  0.527
  1  0.568
  1  0.742
  1  0.583
  1  0.608
  1  0.665
  1  0.616
  1  0.573
  1  1.095
  1  0.560
  0  0.722
  1  0.560
  1  0.755
  1  0.734
  1  0.592
  1  0.853
  0  0.715
  1  0.662
  1  0.559
  1  0.573
  1  0.658
  1  0.672
  1  0.610
  1  0.608
  0  0.630
  1  0.766
  1  0.649
  1  0.531
  1  0.584
  1  0.536
  1  0.979
  1  0.580
  1  0.621
  1  0.682
  1  0.537
  1  0.572
  1  0.599
  1  0.732
  1  0.541
  1  0.699
  1  1.365
  1  0.599
  1  0.641
  1  0.597
  1  0.638
  1  0.627
  1  0.730
  1  0.554
  1  0.670
  1  0.571
  1  0.638
  0  0.554
  1  0.671
  1  0.871
  0  0.733
  0  0.655
  1  0.564
  1  0.592
  1  0.555
  1  0.582
  1  0.654
  1  0.598
  1  0.619
  1  0.747
  0  0.717
  0  1.092
  1  0.918
  1  0.573
  1  0.561
  1  0.934
  1  0.786
  1  0.725
  1  0.546
  1  0.697
  1  0.860
  1  0.637
  1  0.521
  1  0.661
  1  0.594
  1  0.617
  1  0.619
  1  0.600
  1  0.817
  1  0.765
  1  0.586
  1  0.588
  1  0.735
  1  0.826
  1  1.135
  1  0.681
  0  0.533
  1  0.579
