1 0 0.646
1 0 0.872
1 0 0.554
1 0 0.572
1 0 0.572
1 0 0.544
1 0 0.737
1 0 0.605
1 0 0.634
1 0 0.533
1 0 0.644
1 0 0.772
1 0 0.595
1 0 0.732
1 0 0.593
1 0 0.614
1 0 0.658
1 0 0.891
1 0 0.554
1 0 0.691
1 0 0.672
1 0 0.615
1 0 0.742
1 1 0.536
1 0 0.552
1 0 0.569
1 0 1.01
1 0 0.561
1 0 0.633
1 0 0.596
1 0 0.616
1 0 0.588
1 0 0.559
1 0 0.884
1 0 0.564
1 0 0.572
1 0 0.641
1 1 0.625
1 0 0.576
1 0 0.807
2 0 0.671
2 0 1.064
2 1 0.641
2 1 0.523
2 1 0.523
2 1 0.711
2 0 0.828
2 0 0.6
2 0 0.65
2 1 0.796
2 0 0.668
2 0 0.89
2 0 0.582
2 0 0.821
2 0 0.578
2 0 0.616
2 0 0.693
2 0 1.095
2 1 0.637
2 0 0.75
2 0 0.716
2 0 0.618
2 0 0.838
2 1 0.874
2 1 0.65
2 1 0.553
2 0 1.302
2 1 0.597
2 0 0.648
2 0 0.583
2 0 0.62
2 0 0.57
2 1 0.611
2 0 1.085
2 1 0.583
2 0 0.525
2 0 0.662
2 1 1.004
2 0 0.542
2 0 0.951
3 1 0.575
3 0 0.88
3 1 0.825
3 1 0.733
3 1 0.733
3 1 0.895
3 0 0.644
3 1 0.638
3 1 0.59
3 1 0.98
3 1 0.576
3 0 0.706
3 1 0.661
3 0 0.637
3 1 0.666
3 1 0.62
3 1 0.56
3 0 0.911
3 1 0.822
3 0 0.559
3 1 0.543
3 1 0.618
3 0 0.653
3 1 1.058
3 1 0.834
3 1 0.745
3 0 1.118
3 1 0.782
3 1 0.592
3 1 0.659
3 1 0.617
3 1 0.678
3 1 0.796
3 0 0.901
3 1 0.769
3 1 0.731
3 1 0.581
3 1 1.188
3 1 0.717
3 0 0.767
4 1 0.591
4 0 0.542
4 1 0.735
4 1 0.682
4 1 0.682
4 1 0.775
4 1 0.553
4 1 0.627
4 1 0.599
4 1 0.824
4 1 0.592
4 1 0.544
4 1 0.64
4 1 0.554
4 1 0.643
4 1 0.616
4 1 0.583
4 0 0.568
4 1 0.733
4 1 0.568
4 1 0.576
4 1 0.615
4 1 0.552
4 1 0.869
4 1 0.74
4 1 0.689
4 0 0.692
4 1 0.71
4 1 0.6
4 1 0.639
4 1 0.614
4 1 0.65
4 1 0.718
4 0 0.561
4 1 0.703
4 1 0.681
4 1 0.594
4 1 0.944
4 1 0.673
4 1 0.536
