"ID","A1","A2","A3","A4","A5","C1","C2","C3","C4","C5","E1","E2","E3","E4","E5","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5","gender","age"
62301,1,6,5,6,5,5,5,5,2,4,2,2,5,5,5,2,4,2,4,1,5,1,6,6,1,"Females",33
66604,1,6,6,5,6,5,5,4,1,2,2,3,4,5,5,2,2,5,4,3,6,2,4,6,2,"Females",34
63888,6,1,5,4,2,3,4,3,2,3,1,3,5,2,4,5,6,6,2,4,4,5,3,2,4,"Females",16
62950,1,6,6,6,6,6,5,4,1,1,5,3,4,5,6,3,5,2,2,2,1,2,5,3,2,"Females",32
65765,2,5,4,6,5,3,4,4,2,2,3,4,3,5,5,3,4,4,4,2,4,4,4,5,3,"Males",24
66832,2,4,4,5,4,3,1,3,5,5,5,4,2,3,2,2,2,2,4,3,4,5,2,5,5,"Females",62
64338,2,4,6,5,5,5,4,5,3,4,2,2,5,5,6,3,2,4,2,1,6,2,3,5,4,"Females",23
63596,2,5,4,5,2,6,5,5,2,2,5,5,3,4,3,6,6,6,6,5,3,5,3,5,3,"Females",37
65191,4,6,6,6,2,5,6,6,1,1,4,3,6,4,6,2,1,5,5,1,6,1,6,6,1,"Males",25
65839,1,6,5,6,5,5,5,3,5,4,4,1,4,5,6,4,4,3,5,4,4,5,5,6,1,"Females",51
64661,2,4,4,4,4,5,5,4,1,2,4,4,4,2,4,1,1,1,1,1,6,1,5,6,1,"Males",67
65446,2,5,4,3,3,4,4,4,4,6,6,5,3,6,5,4,4,4,5,5,5,3,4,5,5,"Males",26
67135,1,6,6,6,5,4,4,5,2,4,2,2,4,4,5,1,4,1,1,4,6,1,6,6,3,"Females",19
64322,3,5,2,1,5,6,2,4,1,1,2,2,4,2,6,1,1,2,1,1,6,1,5,6,1,"Females",32
61822,2,3,3,4,3,5,6,4,1,4,5,6,2,2,4,3,4,6,6,6,5,2,3,5,4,"Females",21
62474,4,5,5,4,5,2,6,6,1,1,6,1,5,5,5,4,5,3,4,5,6,1,6,5,1,"Females",32
63700,1,5,4,6,3,5,5,5,2,4,3,4,2,4,4,2,2,2,1,2,4,4,4,2,4,"Females",21
62163,4,5,5,6,4,6,5,5,2,2,5,5,4,4,4,2,4,2,6,2,5,2,4,4,2,"Females",23
66047,1,6,6,6,6,5,5,4,2,1,2,2,4,5,5,1,1,1,4,6,6,1,6,6,3,"Females",37
63925,2,5,5,5,3,4,4,4,2,3,4,4,2,3,3,1,2,2,2,2,4,5,2,6,2,"Females",25
62344,1,6,5,6,5,5,6,4,2,4,1,1,5,6,6,2,2,4,2,2,4,5,6,5,1,"Females",17
62443,4,2,4,6,5,5,5,4,1,2,3,2,3,5,5,3,4,2,1,1,3,4,1,4,2,"Females",23
67093,4,6,5,5,5,3,4,2,4,4,2,4,5,6,5,2,2,2,1,3,6,4,5,6,3,"Males",21
66689,5,5,3,6,4,4,3,5,4,4,2,4,4,5,5,4,4,3,3,4,4,4,3,4,4,"Females",34
67490,3,5,3,5,4,6,5,5,5,3,4,4,1,5,5,3,4,3,5,6,4,1,4,5,1,"Females",37
62299,4,4,4,4,4,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,"Males",33
63245,1,6,6,6,5,5,6,6,4,3,4,4,5,5,5,4,2,2,3,4,6,4,6,6,1,"Males",34
65631,1,5,6,5,6,4,2,5,2,2,1,3,5,5,5,1,1,2,2,2,5,2,6,5,2,"Females",30
65976,1,6,6,6,5,4,4,4,1,2,4,1,5,6,5,3,4,4,3,4,4,2,6,6,2,"Females",31
64147,2,4,6,4,5,4,5,4,4,4,1,2,6,3,5,2,4,1,1,1,5,2,6,6,2,"Females",31
63238,1,5,6,2,3,5,3,2,2,4,5,4,4,5,6,2,3,5,5,2,6,4,6,6,2,"Males",22
66373,2,5,5,6,5,5,6,2,3,3,4,2,6,4,2,3,3,5,6,2,6,3,6,6,1,"Males",22
61976,1,5,2,3,4,2,5,6,5,2,5,2,1,3,4,1,2,4,1,1,5,6,2,2,6,"Males",24
66965,4,4,2,4,6,5,4,4,3,4,2,4,5,3,5,1,1,1,2,2,5,1,5,4,2,"Females",51
66664,2,5,4,5,5,5,6,2,2,2,6,4,2,5,2,2,2,2,4,6,2,5,2,2,5,"Females",47
63579,2,4,5,5,4,6,6,5,1,3,2,1,2,6,5,4,3,2,2,2,6,1,5,5,5,"Females",25
66620,1,5,5,5,5,5,5,4,3,6,5,6,4,5,4,5,6,4,5,6,5,2,5,5,2,"Males",52
63983,2,5,5,2,4,5,3,5,5,5,6,6,1,1,2,2,3,2,4,2,4,2,2,6,3,"Males",23
67401,1,5,5,6,4,6,5,5,1,1,3,2,5,5,6,2,4,3,4,2,5,1,5,4,2,"Females",40
67033,1,6,5,3,5,5,5,6,3,2,4,5,3,4,4,3,3,4,4,4,4,1,4,5,3,"Females",29
66297,1,6,5,6,5,4,4,3,4,5,4,5,4,4,3,3,4,1,2,3,6,2,5,6,2,"Males",14
62435,2,5,5,4,6,5,5,5,2,2,5,4,5,4,5,1,1,1,1,3,5,4,4,4,2,"Females",32
